Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,009225,2017,10,12,23.8,1,Y
IDCJAC0010,009225,2017,10,13,31.0,1,Y
IDCJAC0010,009225,2017,10,14,27.2,1,Y
IDCJAC0010,009225,2017,10,15,24.6,1,Y
IDCJAC0010,009225,2017,10,16,20.2,1,Y
IDCJAC0010,009225,2017,10,17,20.6,1,Y
IDCJAC0010,009225,2017,10,18,19.5,1,Y
IDCJAC0010,009225,2017,10,19,24.7,1,Y
IDCJAC0010,009225,2017,10,20,29.9,1,Y
IDCJAC0010,009225,2017,10,21,30.3,1,Y
IDCJAC0010,009225,2017,10,22,28.4,1,Y
IDCJAC0010,009225,2017,10,23,23.8,1,Y
IDCJAC0010,009225,2017,10,24,22.5,1,Y
IDCJAC0010,009225,2017,10,25,23.0,1,Y
IDCJAC0010,009225,2017,10,26,21.2,1,Y
IDCJAC0010,009225,2017,10,27,19.5,1,Y
IDCJAC0010,009225,2017,10,28,21.2,1,Y
IDCJAC0010,009225,2017,10,29,20.2,1,Y
IDCJAC0010,009225,2017,10,30,27.1,1,Y
IDCJAC0010,009225,2017,10,31,28.1,1,Y
IDCJAC0010,009225,2017,11,01,29.4,1,Y
IDCJAC0010,009225,2017,11,02,27.5,1,Y
IDCJAC0010,009225,2017,11,03,26.1,1,Y
IDCJAC0010,009225,2017,11,04,29.8,1,Y
IDCJAC0010,009225,2017,11,05,31.4,1,Y
IDCJAC0010,009225,2017,11,06,33.0,1,Y
IDCJAC0010,009225,2017,11,07,36.2,1,Y
IDCJAC0010,009225,2017,11,08,34.7,1,Y
IDCJAC0010,009225,2017,11,09,30.7,1,Y
IDCJAC0010,009225,2017,11,10,31.8,1,Y
IDCJAC0010,009225,2017,11,11,36.9,1,Y
IDCJAC0010,009225,2017,11,12,29.9,1,Y
IDCJAC0010,009225,2017,11,13,27.2,1,Y
IDCJAC0010,009225,2017,11,14,29.5,1,Y
IDCJAC0010,009225,2017,11,15,32.1,1,Y
IDCJAC0010,009225,2017,11,16,35.7,1,Y
IDCJAC0010,009225,2017,11,17,24.9,1,Y
IDCJAC0010,009225,2017,11,18,24.1,1,Y
IDCJAC0010,009225,2017,11,19,23.4,1,Y
IDCJAC0010,009225,2017,11,20,24.5,1,Y
IDCJAC0010,009225,2017,11,21,25.6,1,Y
IDCJAC0010,009225,2017,11,22,29.7,1,Y
IDCJAC0010,009225,2017,11,23,31.3,1,Y
IDCJAC0010,009225,2017,11,24,32.6,1,Y
IDCJAC0010,009225,2017,11,25,29.9,1,Y
IDCJAC0010,009225,2017,11,26,33.0,1,Y
IDCJAC0010,009225,2017,11,27,27.7,1,Y
IDCJAC0010,009225,2017,11,28,23.4,1,Y
IDCJAC0010,009225,2017,11,29,23.0,1,Y
IDCJAC0010,009225,2017,11,30,23.7,1,Y
IDCJAC0010,009225,2017,12,01,27.8,1,Y
IDCJAC0010,009225,2017,12,02,34.5,1,Y
IDCJAC0010,009225,2017,12,03,35.5,1,Y
IDCJAC0010,009225,2017,12,04,25.1,1,Y
